Image,Predicted,Actual
"Cross_901_(0, 1).jpg",0,0
"Cross_901_(0, 2).jpg",0,0
"Cross_901_(1, 0).jpg",0,0
"Cross_901_(1, 1).jpg",1,1
"Cross_901_(1, 2).jpg",1,1
"Cross_901_(2, 0).jpg",0,0
"Cross_901_(2, 1).jpg",0,0
"Cross_901_(2, 2).jpg",0,0
"Cross_902_(0, 0).jpg",0,0
"Cross_902_(0, 1).jpg",0,0
"Cross_902_(0, 2).jpg",0,0
"Cross_902_(1, 0).jpg",0,0
"Cross_902_(1, 1).jpg",0,0
"Cross_902_(1, 2).jpg",0,0
"Cross_902_(2, 0).jpg",0,1
"Cross_902_(2, 1).jpg",0,1
"Cross_902_(2, 2).jpg",0,1
"Cross_903_(0, 0).jpg",0,0
"Cross_903_(0, 1).jpg",0,0
"Cross_903_(0, 2).jpg",0,0
"Cross_903_(1, 0).jpg",1,0
"Cross_903_(1, 1).jpg",0,0
"Cross_903_(1, 2).jpg",0,0
"Cross_903_(2, 0).jpg",0,0
"Cross_903_(2, 1).jpg",1,0
"Cross_903_(2, 2).jpg",0,0
"Cross_904_(0, 0).jpg",0,0
"Cross_904_(0, 1).jpg",0,0
"Cross_904_(0, 2).jpg",0,0
"Cross_904_(1, 0).jpg",0,0
"Cross_904_(1, 1).jpg",0,0
"Cross_904_(1, 2).jpg",0,0
"Cross_904_(2, 0).jpg",0,0
"Cross_904_(2, 1).jpg",0,0
"Cross_904_(2, 2).jpg",0,1
"Cross_905_(0, 0).jpg",0,0
"Cross_905_(0, 1).jpg",0,0
"Cross_905_(0, 2).jpg",0,0
"Cross_905_(1, 0).jpg",0,0
"Cross_905_(1, 1).jpg",0,0
"Cross_905_(1, 2).jpg",1,0
"Cross_905_(2, 0).jpg",0,0
"Cross_905_(2, 1).jpg",1,0
"Cross_905_(2, 2).jpg",0,0
"Cross_906_(0, 0).jpg",0,0
"Cross_906_(0, 1).jpg",0,0
"Cross_906_(0, 2).jpg",0,0
"Cross_906_(1, 0).jpg",0,0
"Cross_906_(1, 1).jpg",0,1
"Cross_906_(1, 2).jpg",0,1
"Cross_906_(2, 0).jpg",0,0
"Cross_906_(2, 1).jpg",0,0
"Cross_906_(2, 2).jpg",0,0
"Cross_907_(0, 0).jpg",0,0
"Cross_907_(0, 1).jpg",0,0
"Cross_907_(0, 2).jpg",0,0
"Cross_907_(1, 0).jpg",0,0
"Cross_907_(1, 1).jpg",0,0
"Cross_907_(1, 2).jpg",1,1
"Cross_907_(2, 0).jpg",1,1
"Cross_907_(2, 1).jpg",1,1
"Cross_907_(2, 2).jpg",1,1
"Cross_908_(0, 0).jpg",0,0
"Cross_908_(0, 1).jpg",0,0
"Cross_908_(0, 2).jpg",0,0
"Cross_908_(1, 0).jpg",0,1
"Cross_908_(1, 1).jpg",0,0
"Cross_908_(1, 2).jpg",0,0
"Cross_908_(2, 0).jpg",0,1
"Cross_908_(2, 1).jpg",0,1
"Cross_908_(2, 2).jpg",0,1
"Cross_909_(0, 0).jpg",0,0
"Cross_909_(0, 1).jpg",0,0
"Cross_909_(0, 2).jpg",0,0
"Cross_909_(1, 0).jpg",0,1
"Cross_909_(1, 1).jpg",1,1
"Cross_909_(1, 2).jpg",0,1
"Cross_909_(2, 0).jpg",0,1
"Cross_909_(2, 1).jpg",0,0
"Cross_909_(2, 2).jpg",0,0
"Cross_910_(0, 0).jpg",0,0
"Cross_910_(0, 1).jpg",0,0
"Cross_910_(0, 2).jpg",0,0
"Cross_910_(1, 0).jpg",0,1
"Cross_910_(1, 1).jpg",0,1
"Cross_910_(1, 2).jpg",0,0
"Cross_910_(2, 0).jpg",0,0
"Cross_910_(2, 1).jpg",0,1
"Cross_910_(2, 2).jpg",1,1
"Cross_911_(0, 0).jpg",0,0
"Cross_911_(0, 1).jpg",0,0
"Cross_911_(0, 2).jpg",0,0
"Cross_911_(1, 0).jpg",1,1
"Cross_911_(1, 1).jpg",1,1
"Cross_911_(1, 2).jpg",1,1
"Cross_911_(2, 0).jpg",0,0
"Cross_911_(2, 1).jpg",0,0
"Cross_911_(2, 2).jpg",0,0
"Cross_912_(0, 0).jpg",0,0
"Cross_912_(0, 1).jpg",0,0
"Cross_912_(0, 2).jpg",0,0
"Cross_912_(1, 0).jpg",1,1
"Cross_912_(1, 1).jpg",1,1
"Cross_912_(1, 2).jpg",1,1
"Cross_912_(2, 0).jpg",0,0
"Cross_912_(2, 1).jpg",0,0
"Cross_912_(2, 2).jpg",0,0
"Cross_913_(0, 0).jpg",0,0
"Cross_913_(0, 1).jpg",0,0
"Cross_913_(0, 2).jpg",0,0
"Cross_913_(1, 0).jpg",1,1
"Cross_913_(1, 1).jpg",1,1
"Cross_913_(1, 2).jpg",0,1
"Cross_913_(2, 0).jpg",0,0
"Cross_913_(2, 1).jpg",1,1
"Cross_913_(2, 2).jpg",0,1
"Cross_914_(0, 0).jpg",0,0
"Cross_914_(0, 1).jpg",0,0
"Cross_914_(0, 2).jpg",0,0
"Cross_914_(1, 0).jpg",0,0
"Cross_914_(1, 1).jpg",0,1
"Cross_914_(1, 2).jpg",1,1
"Cross_914_(2, 0).jpg",0,0
"Cross_914_(2, 1).jpg",0,1
"Cross_914_(2, 2).jpg",0,0
"Cross_915_(0, 0).jpg",0,1
"Cross_915_(0, 1).jpg",0,0
"Cross_915_(0, 2).jpg",0,0
"Cross_915_(1, 0).jpg",0,0
"Cross_915_(1, 1).jpg",0,1
"Cross_915_(1, 2).jpg",1,1
"Cross_915_(2, 0).jpg",0,0
"Cross_915_(2, 1).jpg",0,0
"Cross_915_(2, 2).jpg",0,0
"Cross_916_(0, 0).jpg",0,0
"Cross_916_(0, 1).jpg",0,0
"Cross_916_(0, 2).jpg",0,0
"Cross_916_(1, 0).jpg",1,1
"Cross_916_(1, 1).jpg",1,1
"Cross_916_(1, 2).jpg",0,0
"Cross_916_(2, 0).jpg",0,0
"Cross_916_(2, 1).jpg",0,0
"Cross_916_(2, 2).jpg",0,0
"Cross_917_(0, 0).jpg",0,0
"Cross_917_(0, 1).jpg",0,0
"Cross_917_(0, 2).jpg",0,0
"Cross_917_(1, 0).jpg",0,0
"Cross_917_(1, 1).jpg",0,1
"Cross_917_(1, 2).jpg",0,1
"Cross_917_(2, 0).jpg",1,1
"Cross_917_(2, 1).jpg",1,1
"Cross_917_(2, 2).jpg",0,0
"Cross_918_(0, 0).jpg",0,0
"Cross_918_(0, 1).jpg",0,0
"Cross_918_(0, 2).jpg",0,0
"Cross_918_(1, 0).jpg",0,1
"Cross_918_(1, 1).jpg",0,1
"Cross_918_(1, 2).jpg",0,1
"Cross_918_(2, 0).jpg",0,0
"Cross_918_(2, 1).jpg",1,1
"Cross_918_(2, 2).jpg",0,1
"Cross_919_(0, 0).jpg",0,0
"Cross_919_(0, 1).jpg",0,0
"Cross_919_(0, 2).jpg",0,0
"Cross_919_(1, 0).jpg",0,0
"Cross_919_(1, 1).jpg",1,1
"Cross_919_(1, 2).jpg",1,1
"Cross_919_(2, 0).jpg",0,1
"Cross_919_(2, 1).jpg",0,1
"Cross_919_(2, 2).jpg",0,0
"Cross_920_(0, 0).jpg",0,0
"Cross_920_(0, 1).jpg",0,0
"Cross_920_(0, 2).jpg",0,0
"Cross_920_(1, 0).jpg",1,1
"Cross_920_(1, 1).jpg",0,1
"Cross_920_(1, 2).jpg",0,1
"Cross_920_(2, 0).jpg",1,0
"Cross_920_(2, 1).jpg",0,0
"Cross_920_(2, 2).jpg",0,0
"Cross_921_(0, 0).jpg",0,0
"Cross_921_(0, 1).jpg",0,0
"Cross_921_(0, 2).jpg",0,0
"Cross_921_(1, 0).jpg",0,0
"Cross_921_(1, 1).jpg",0,0
"Cross_921_(1, 2).jpg",0,0
"Cross_921_(2, 0).jpg",0,1
"Cross_921_(2, 1).jpg",0,1
"Cross_921_(2, 2).jpg",0,0
"Cross_922_(0, 0).jpg",0,0
"Cross_922_(0, 1).jpg",0,0
"Cross_922_(0, 2).jpg",0,0
"Cross_922_(1, 0).jpg",0,0
"Cross_922_(1, 1).jpg",1,1
"Cross_922_(1, 2).jpg",1,1
"Cross_922_(2, 0).jpg",0,1
"Cross_922_(2, 1).jpg",1,1
"Cross_922_(2, 2).jpg",0,0
"Cross_923_(0, 0).jpg",0,0
"Cross_923_(0, 1).jpg",0,0
"Cross_923_(0, 2).jpg",0,0
"Cross_923_(1, 0).jpg",0,0
"Cross_923_(1, 1).jpg",0,0
"Cross_923_(1, 2).jpg",0,0
"Cross_923_(2, 0).jpg",0,0
"Cross_923_(2, 1).jpg",0,0
"Cross_923_(2, 2).jpg",1,1
"Cross_924_(0, 0).jpg",0,0
"Cross_924_(0, 1).jpg",1,1
"Cross_924_(0, 2).jpg",0,1
"Cross_924_(1, 0).jpg",0,0
"Cross_924_(1, 1).jpg",0,0
"Cross_924_(1, 2).jpg",1,1
"Cross_924_(2, 0).jpg",0,1
"Cross_924_(2, 1).jpg",0,1
"Cross_924_(2, 2).jpg",0,1
"Cross_925_(0, 0).jpg",0,0
"Cross_925_(0, 1).jpg",0,0
"Cross_925_(0, 2).jpg",0,0
"Cross_925_(1, 0).jpg",0,1
"Cross_925_(1, 1).jpg",0,0
"Cross_925_(1, 2).jpg",1,0
"Cross_925_(2, 0).jpg",0,0
"Cross_925_(2, 1).jpg",0,0
"Cross_925_(2, 2).jpg",0,0
"Cross_926_(0, 0).jpg",0,0
"Cross_926_(0, 1).jpg",0,0
"Cross_926_(0, 2).jpg",0,0
"Cross_926_(1, 0).jpg",0,0
"Cross_926_(1, 1).jpg",0,0
"Cross_926_(1, 2).jpg",0,0
"Cross_926_(2, 0).jpg",0,0
"Cross_926_(2, 1).jpg",1,1
"Cross_926_(2, 2).jpg",1,1
"Cross_927_(0, 0).jpg",0,0
"Cross_927_(0, 1).jpg",0,0
"Cross_927_(0, 2).jpg",0,1
"Cross_927_(1, 0).jpg",0,1
"Cross_927_(1, 1).jpg",0,1
"Cross_927_(1, 2).jpg",0,1
"Cross_927_(2, 0).jpg",0,0
"Cross_927_(2, 1).jpg",0,0
"Cross_927_(2, 2).jpg",0,0
"Cross_928_(0, 0).jpg",0,1
"Cross_928_(0, 1).jpg",1,1
"Cross_928_(0, 2).jpg",0,0
"Cross_928_(1, 0).jpg",0,0
"Cross_928_(1, 1).jpg",0,0
"Cross_928_(1, 2).jpg",0,0
"Cross_928_(2, 0).jpg",0,0
"Cross_928_(2, 1).jpg",0,0
"Cross_928_(2, 2).jpg",0,0
"Cross_929_(0, 0).jpg",0,0
"Cross_929_(0, 1).jpg",0,0
"Cross_929_(0, 2).jpg",0,0
"Cross_929_(1, 0).jpg",0,0
"Cross_929_(1, 1).jpg",0,0
"Cross_929_(1, 2).jpg",0,0
"Cross_929_(2, 0).jpg",0,1
"Cross_929_(2, 1).jpg",0,0
"Cross_929_(2, 2).jpg",0,1
"Cross_930_(0, 0).jpg",0,0
"Cross_930_(0, 1).jpg",0,0
"Cross_930_(0, 2).jpg",0,0
"Cross_930_(1, 0).jpg",1,1
"Cross_930_(1, 1).jpg",1,1
"Cross_930_(1, 2).jpg",1,1
"Cross_930_(2, 0).jpg",0,0
"Cross_930_(2, 1).jpg",0,0
"Cross_930_(2, 2).jpg",0,0
"Cross_931_(0, 0).jpg",0,0
"Cross_931_(0, 1).jpg",0,0
"Cross_931_(0, 2).jpg",0,0
"Cross_931_(1, 0).jpg",0,0
"Cross_931_(1, 1).jpg",0,0
"Cross_931_(1, 2).jpg",0,0
"Cross_931_(2, 0).jpg",0,0
"Cross_931_(2, 1).jpg",1,1
"Cross_931_(2, 2).jpg",1,1
"Cross_932_(0, 0).jpg",0,1
"Cross_932_(0, 1).jpg",0,0
"Cross_932_(0, 2).jpg",0,0
"Cross_932_(1, 0).jpg",0,0
"Cross_932_(1, 1).jpg",1,1
"Cross_932_(1, 2).jpg",0,0
"Cross_932_(2, 0).jpg",0,1
"Cross_932_(2, 1).jpg",1,1
"Cross_932_(2, 2).jpg",0,0
"Cross_933_(0, 0).jpg",0,0
"Cross_933_(0, 1).jpg",0,0
"Cross_933_(0, 2).jpg",0,0
"Cross_933_(1, 0).jpg",1,1
"Cross_933_(1, 1).jpg",1,1
"Cross_933_(1, 2).jpg",1,1
"Cross_933_(2, 0).jpg",0,0
"Cross_933_(2, 1).jpg",0,0
"Cross_933_(2, 2).jpg",0,0
"Cross_934_(0, 0).jpg",0,0
"Cross_934_(0, 1).jpg",0,0
"Cross_934_(0, 2).jpg",0,0
"Cross_934_(1, 0).jpg",0,0
"Cross_934_(1, 1).jpg",0,0
"Cross_934_(1, 2).jpg",0,0
"Cross_934_(2, 0).jpg",0,1
"Cross_934_(2, 1).jpg",0,1
"Cross_934_(2, 2).jpg",0,1
"Cross_935_(0, 0).jpg",0,0
"Cross_935_(0, 1).jpg",0,0
"Cross_935_(0, 2).jpg",0,0
"Cross_935_(1, 0).jpg",1,1
"Cross_935_(1, 1).jpg",1,1
"Cross_935_(1, 2).jpg",0,0
"Cross_935_(2, 0).jpg",0,0
"Cross_935_(2, 1).jpg",0,0
"Cross_935_(2, 2).jpg",0,0
"Cross_936_(0, 0).jpg",0,0
"Cross_936_(0, 1).jpg",0,0
"Cross_936_(0, 2).jpg",0,0
"Cross_936_(1, 0).jpg",1,1
"Cross_936_(1, 1).jpg",0,0
"Cross_936_(1, 2).jpg",1,0
"Cross_936_(2, 0).jpg",0,1
"Cross_936_(2, 1).jpg",0,0
"Cross_936_(2, 2).jpg",0,0
"Cross_937_(0, 0).jpg",0,0
"Cross_937_(0, 1).jpg",0,0
"Cross_937_(0, 2).jpg",0,0
"Cross_937_(1, 0).jpg",1,1
"Cross_937_(1, 1).jpg",0,1
"Cross_937_(1, 2).jpg",0,0
"Cross_937_(2, 0).jpg",0,0
"Cross_937_(2, 1).jpg",0,0
"Cross_937_(2, 2).jpg",0,0
"Cross_938_(0, 0).jpg",0,0
"Cross_938_(0, 1).jpg",0,0
"Cross_938_(0, 2).jpg",0,0
"Cross_938_(1, 0).jpg",1,1
"Cross_938_(1, 1).jpg",1,1
"Cross_938_(1, 2).jpg",1,1
"Cross_938_(2, 0).jpg",0,1
"Cross_938_(2, 1).jpg",0,1
"Cross_938_(2, 2).jpg",0,1
"Cross_939_(0, 0).jpg",0,0
"Cross_939_(0, 1).jpg",0,0
"Cross_939_(0, 2).jpg",0,0
"Cross_939_(1, 0).jpg",1,1
"Cross_939_(1, 1).jpg",1,1
"Cross_939_(1, 2).jpg",1,1
"Cross_939_(2, 0).jpg",0,0
"Cross_939_(2, 1).jpg",1,1
"Cross_939_(2, 2).jpg",1,1
"Cross_940_(0, 0).jpg",0,0
"Cross_940_(0, 1).jpg",0,0
"Cross_940_(0, 2).jpg",0,0
"Cross_940_(1, 0).jpg",1,1
"Cross_940_(1, 1).jpg",1,1
"Cross_940_(1, 2).jpg",1,1
"Cross_940_(2, 0).jpg",0,0
"Cross_940_(2, 1).jpg",0,0
"Cross_940_(2, 2).jpg",0,0
"Cross_941_(0, 0).jpg",0,0
"Cross_941_(0, 1).jpg",0,0
"Cross_941_(0, 2).jpg",0,0
"Cross_941_(1, 0).jpg",0,0
"Cross_941_(1, 1).jpg",1,1
"Cross_941_(1, 2).jpg",1,1
"Cross_941_(2, 0).jpg",0,0
"Cross_941_(2, 1).jpg",0,0
"Cross_941_(2, 2).jpg",0,0
"Cross_942_(0, 0).jpg",0,0
"Cross_942_(0, 1).jpg",0,0
"Cross_942_(0, 2).jpg",0,0
"Cross_942_(1, 0).jpg",0,0
"Cross_942_(1, 1).jpg",0,0
"Cross_942_(1, 2).jpg",0,0
"Cross_942_(2, 0).jpg",1,1
"Cross_942_(2, 1).jpg",1,1
"Cross_942_(2, 2).jpg",0,1
"Cross_943_(0, 0).jpg",0,0
"Cross_943_(0, 1).jpg",0,0
"Cross_943_(0, 2).jpg",0,0
"Cross_943_(1, 0).jpg",0,0
"Cross_943_(1, 1).jpg",1,1
"Cross_943_(1, 2).jpg",1,1
"Cross_943_(2, 0).jpg",0,0
"Cross_943_(2, 1).jpg",0,0
"Cross_943_(2, 2).jpg",0,0
"Cross_944_(0, 0).jpg",0,0
"Cross_944_(0, 1).jpg",1,1
"Cross_944_(0, 2).jpg",0,1
"Cross_944_(1, 0).jpg",0,0
"Cross_944_(1, 1).jpg",0,1
"Cross_944_(1, 2).jpg",1,1
"Cross_944_(2, 0).jpg",0,0
"Cross_944_(2, 1).jpg",0,0
"Cross_944_(2, 2).jpg",0,1
"Cross_945_(0, 0).jpg",0,0
"Cross_945_(0, 1).jpg",0,0
"Cross_945_(0, 2).jpg",0,0
"Cross_945_(1, 0).jpg",0,0
"Cross_945_(1, 1).jpg",0,0
"Cross_945_(1, 2).jpg",0,0
"Cross_945_(2, 0).jpg",0,0
"Cross_945_(2, 1).jpg",1,1
"Cross_945_(2, 2).jpg",0,1
"Cross_946_(0, 0).jpg",0,0
"Cross_946_(0, 1).jpg",0,0
"Cross_946_(0, 2).jpg",0,0
"Cross_946_(1, 0).jpg",0,0
"Cross_946_(1, 1).jpg",0,0
"Cross_946_(1, 2).jpg",1,1
"Cross_946_(2, 0).jpg",0,0
"Cross_946_(2, 1).jpg",0,1
"Cross_946_(2, 2).jpg",1,1
"Cross_947_(0, 0).jpg",0,0
"Cross_947_(0, 1).jpg",0,0
"Cross_947_(0, 2).jpg",0,0
"Cross_947_(1, 0).jpg",1,1
"Cross_947_(1, 1).jpg",1,1
"Cross_947_(1, 2).jpg",1,1
"Cross_947_(2, 0).jpg",1,1
"Cross_947_(2, 1).jpg",1,1
"Cross_947_(2, 2).jpg",0,0
"Cross_948_(0, 0).jpg",0,0
"Cross_948_(0, 1).jpg",0,0
"Cross_948_(0, 2).jpg",0,1
"Cross_948_(1, 0).jpg",0,1
"Cross_948_(1, 1).jpg",1,1
"Cross_948_(1, 2).jpg",1,1
"Cross_948_(2, 0).jpg",0,0
"Cross_948_(2, 1).jpg",0,0
"Cross_948_(2, 2).jpg",0,0
"Cross_949_(0, 0).jpg",0,0
"Cross_949_(0, 1).jpg",0,0
"Cross_949_(0, 2).jpg",0,0
"Cross_949_(1, 0).jpg",0,1
"Cross_949_(1, 1).jpg",0,1
"Cross_949_(1, 2).jpg",1,1
"Cross_949_(2, 0).jpg",0,0
"Cross_949_(2, 1).jpg",0,0
"Cross_949_(2, 2).jpg",0,0
"Cross_950_(0, 0).jpg",0,0
"Cross_950_(0, 1).jpg",0,0
"Cross_950_(0, 2).jpg",0,0
"Cross_950_(1, 0).jpg",0,0
"Cross_950_(1, 1).jpg",0,0
"Cross_950_(1, 2).jpg",0,0
"Cross_950_(2, 0).jpg",1,1
"Cross_950_(2, 1).jpg",1,1
"Cross_950_(2, 2).jpg",0,0
"Cross_951_(0, 0).jpg",0,0
"Cross_951_(0, 1).jpg",0,0
"Cross_951_(0, 2).jpg",0,0
"Cross_951_(1, 0).jpg",0,1
"Cross_951_(1, 1).jpg",1,1
"Cross_951_(1, 2).jpg",1,1
"Cross_951_(2, 0).jpg",0,1
"Cross_951_(2, 1).jpg",0,1
"Cross_951_(2, 2).jpg",0,0
"Cross_952_(0, 0).jpg",0,1
"Cross_952_(0, 1).jpg",0,1
"Cross_952_(0, 2).jpg",0,1
"Cross_952_(1, 0).jpg",0,0
"Cross_952_(1, 1).jpg",0,0
"Cross_952_(1, 2).jpg",0,0
"Cross_952_(2, 0).jpg",0,1
"Cross_952_(2, 1).jpg",0,1
"Cross_952_(2, 2).jpg",0,1
"Cross_953_(0, 0).jpg",0,0
"Cross_953_(0, 1).jpg",0,0
"Cross_953_(0, 2).jpg",0,0
"Cross_953_(1, 0).jpg",0,0
"Cross_953_(1, 1).jpg",0,0
"Cross_953_(1, 2).jpg",0,0
"Cross_953_(2, 0).jpg",0,0
"Cross_953_(2, 1).jpg",0,1
"Cross_953_(2, 2).jpg",0,1
"Cross_954_(0, 0).jpg",0,0
"Cross_954_(0, 1).jpg",0,0
"Cross_954_(0, 2).jpg",0,0
"Cross_954_(1, 0).jpg",1,1
"Cross_954_(1, 1).jpg",0,1
"Cross_954_(1, 2).jpg",1,1
"Cross_954_(2, 0).jpg",0,0
"Cross_954_(2, 1).jpg",0,0
"Cross_954_(2, 2).jpg",0,0
"Cross_955_(0, 0).jpg",0,0
"Cross_955_(0, 1).jpg",0,0
"Cross_955_(0, 2).jpg",0,0
"Cross_955_(1, 0).jpg",0,0
"Cross_955_(1, 1).jpg",0,0
"Cross_955_(1, 2).jpg",0,0
"Cross_955_(2, 0).jpg",0,0
"Cross_955_(2, 1).jpg",1,1
"Cross_955_(2, 2).jpg",1,1
"Cross_956_(0, 0).jpg",0,0
"Cross_956_(0, 1).jpg",0,0
"Cross_956_(0, 2).jpg",1,1
"Cross_956_(1, 0).jpg",0,1
"Cross_956_(1, 1).jpg",0,1
"Cross_956_(1, 2).jpg",0,1
"Cross_956_(2, 0).jpg",0,0
"Cross_956_(2, 1).jpg",0,0
"Cross_956_(2, 2).jpg",0,0
"Cross_957_(0, 0).jpg",0,0
"Cross_957_(0, 1).jpg",1,1
"Cross_957_(0, 2).jpg",1,1
"Cross_957_(1, 0).jpg",0,0
"Cross_957_(1, 1).jpg",0,1
"Cross_957_(1, 2).jpg",0,0
"Cross_957_(2, 0).jpg",1,1
"Cross_957_(2, 1).jpg",0,1
"Cross_957_(2, 2).jpg",0,1
"Cross_958_(0, 0).jpg",0,0
"Cross_958_(0, 1).jpg",0,0
"Cross_958_(0, 2).jpg",0,0
"Cross_958_(1, 0).jpg",0,0
"Cross_958_(1, 1).jpg",0,0
"Cross_958_(1, 2).jpg",0,0
"Cross_958_(2, 0).jpg",0,1
"Cross_958_(2, 1).jpg",1,1
"Cross_958_(2, 2).jpg",0,1
"Cross_959_(0, 0).jpg",0,0
"Cross_959_(0, 1).jpg",0,0
"Cross_959_(0, 2).jpg",0,0
"Cross_959_(1, 0).jpg",0,0
"Cross_959_(1, 1).jpg",0,0
"Cross_959_(1, 2).jpg",0,0
"Cross_959_(2, 0).jpg",0,1
"Cross_959_(2, 1).jpg",1,1
"Cross_959_(2, 2).jpg",1,1
"Cross_960_(0, 0).jpg",0,1
"Cross_960_(0, 1).jpg",0,1
"Cross_960_(0, 2).jpg",0,1
"Cross_960_(1, 0).jpg",0,0
"Cross_960_(1, 1).jpg",0,0
"Cross_960_(1, 2).jpg",0,0
"Cross_960_(2, 0).jpg",0,0
"Cross_960_(2, 1).jpg",0,0
"Cross_960_(2, 2).jpg",0,0
"Cross_961_(0, 0).jpg",0,0
"Cross_961_(0, 1).jpg",0,0
"Cross_961_(0, 2).jpg",0,0
"Cross_961_(1, 0).jpg",1,1
"Cross_961_(1, 1).jpg",1,1
"Cross_961_(1, 2).jpg",0,1
"Cross_961_(2, 0).jpg",1,1
"Cross_961_(2, 1).jpg",1,1
"Cross_961_(2, 2).jpg",1,1
"Cross_962_(0, 0).jpg",0,0
"Cross_962_(0, 1).jpg",0,0
"Cross_962_(0, 2).jpg",0,0
"Cross_962_(1, 0).jpg",0,1
"Cross_962_(1, 1).jpg",0,0
"Cross_962_(1, 2).jpg",0,0
"Cross_962_(2, 0).jpg",1,1
"Cross_962_(2, 1).jpg",0,1
"Cross_962_(2, 2).jpg",0,0
"Cross_963_(0, 0).jpg",0,0
"Cross_963_(0, 1).jpg",0,0
"Cross_963_(0, 2).jpg",0,0
"Cross_963_(1, 0).jpg",0,0
"Cross_963_(1, 1).jpg",0,1
"Cross_963_(1, 2).jpg",1,1
"Cross_963_(2, 0).jpg",0,0
"Cross_963_(2, 1).jpg",0,0
"Cross_963_(2, 2).jpg",0,0
"Cross_964_(0, 0).jpg",1,1
"Cross_964_(0, 1).jpg",1,1
"Cross_964_(0, 2).jpg",1,1
"Cross_964_(1, 0).jpg",0,1
"Cross_964_(1, 1).jpg",0,1
"Cross_964_(1, 2).jpg",0,1
"Cross_964_(2, 0).jpg",0,0
"Cross_964_(2, 1).jpg",0,0
"Cross_964_(2, 2).jpg",0,0
"Cross_965_(0, 0).jpg",0,0
"Cross_965_(0, 1).jpg",0,0
"Cross_965_(0, 2).jpg",0,0
"Cross_965_(1, 0).jpg",0,0
"Cross_965_(1, 1).jpg",0,0
"Cross_965_(1, 2).jpg",0,1
"Cross_965_(2, 0).jpg",0,0
"Cross_965_(2, 1).jpg",0,1
"Cross_965_(2, 2).jpg",0,1
"Cross_966_(0, 0).jpg",0,0
"Cross_966_(0, 1).jpg",0,0
"Cross_966_(0, 2).jpg",0,0
"Cross_966_(1, 0).jpg",0,0
"Cross_966_(1, 1).jpg",0,0
"Cross_966_(1, 2).jpg",0,0
"Cross_966_(2, 0).jpg",0,1
"Cross_966_(2, 1).jpg",0,1
